shop_id,user_id,apply_status,shop_name,address,phone,shop_describe,announcement,evaluate_sum,evaluate_number,is_valid,img
1,1,已通过,华为官方旗舰店,广东深圳,13322223333,必逛好店，本店已收录于连续六年双11不断档合集,这，就是HarmonyOS！,0,0,1,images/shop_image/shop_1.jpg
2,2,已通过,小米官方旗舰店,北京,13322223334,必逛好店，本店已收录于儿童娱乐酷玩好物合集,生生不息，R U OK！,0,0,1,images/shop_image/shop_2.jpg
3,3,已通过,联想官方旗舰店,上海,13322223335,必逛好店，本店已收录于儿童娱乐酷玩好物合集,世界失去联想，人类将会怎样！,0,0,1,images/shop_image/shop_3.jpg
4,4,已通过,索尼官方旗舰店,上海,13322223336,必逛好店，本店已收录于心动私藏老店合集,SONY大法好,0,0,1,images/shop_image/shop_4.jpg
5,5,已通过,Apple Store 官方旗舰店,上海,13322223337,必逛好店，本店已收录于儿童娱乐酷玩好物合集,环保！环保！环保！,0,0,1,images/shop_image/shop_5.jpg
6,6,已通过,当当网官方旗舰店,北京,13322223338,必逛好店，本店已收录于书友店铺推荐合集,敢做干当当！,0,0,1,images/shop_image/shop_6.jpg
7,7,已通过,中国人民大学出版社旗舰店,北京,13322223339,必逛好店，本店已收录于书友店铺推荐合集,人大附中附属大学,0,0,1,images/shop_image/shop_7.jpg
8,8,已通过,清华大学出版社旗舰店,北京,13322223340,必逛好店，本店已收录于忠粉力荐的店铺合集,五道口男子技校,0,0,1,images/shop_image/shop_8.jpg
9,9,已通过,滔博运动旗舰店,北京,13322223341,必逛好店，本店已收录于心动私藏老店合集,运动，永无止境！,0,0,1,images/shop_image/shop_9.jpg
10,10,已通过,李宁官方旗舰店,北京,13322223342,必逛好店，本店已收录于书友店铺推荐合集,运动，永无止境！,0,0,1,images/shop_image/shop_10.jpg
11,11,已通过,三只松鼠官方旗舰店,北京,13322223343,必逛好店，本店已收录于忠粉力荐的店铺合集,让小鼠为您服务！,0,0,1,images/shop_image/shop_11.jpg
12,12,已通过,良品铺子官方旗舰店,北京,13322223344,必逛好店，本店已收录于忠粉力荐的店铺合集,打造中国优秀食品！,0,0,1,images/shop_image/shop_12.jpg
13,13,已通过,欧莱雅官方旗舰店,北京,13322223345,必逛好店，本店已收录于忠粉力荐的店铺合集,我值得拥有。,0,0,1,images/shop_image/shop_13.jpg
14,14,已通过,雅诗兰黛官方旗舰店,上海,13322223346,必逛好店，本店已收录于忠粉力荐的店铺合集,许你全世界的爱意。,0,0,1,images/shop_image/shop_14.jpg
15,15,已通过,慕思家居,北京,13322223347,必逛好店，本店已收录于忠粉力荐的店铺合集,打造品质家居！,0,0,1,images/shop_image/shop_15.png
16,16,已通过,顾家家居,上海,13322223348,必逛好店，本店已收录于忠粉力荐的店铺合集,打造品质家居！,0,0,1,images/shop_image/shop_16.jpg
17,17,已通过,京东北京自营店,北京,13322223349,必逛好店，本店已收录于忠粉力荐的店铺合集,京东，YYDS!,0,0,1,images/shop_image/shop_default.jpg
18,18,已通过,京东深圳自营店,深圳,13322223350,必逛好店，本店已收录于忠粉力荐的店铺合集,京东，YYDS!,0,0,1,images/shop_image/shop_default.jpg
19,19,已通过,京东上海自营店,上海,13322223351,必逛好店，本店已收录于忠粉力荐的店铺合集,京东，YYDS!,0,0,1,images/shop_image/shop_default.jpg
20,20,已通过,京东浙江自营店,浙江,13322223352,必逛好店，本店已收录于忠粉力荐的店铺合集,京东，YYDS!,0,0,1,images/shop_image/shop_default.jpg
21,21,已通过,京东天津自营店,天津,13322223353,必逛好店，本店已收录于忠粉力荐的店铺合集,京东，YYDS!,0,0,1,images/shop_image/shop_default.jpg
